Kerteminde saltlage ruter,,,,,,,,,,,,,,,,,,,,
,"Bredden er udregnet med en decimal, hvis der mellem punkterne saltes i varierende bredder.",,,,,,,,,,,,,,,,,,,
,"Status: 1 = saltes i valgfri retning, 2 = saltes, 3 = strækning kan udelades",,,,,,,,,,,,,,,,,,,
,Forbindelse fra - til,,,,,,,,,,,,,,,,,,,Skal anvendes
Fra,,,,,,,,,,,,,,,,,,,,Kan undlades
Knude,til,sta-,længde,salt,til,sta-,længde,salt,til,sta-,længde,salt,til,sta-,længde,salt,,,,
punkt,pkt.,tus,i m,m,pkt.,tus,i m,m,pkt.,tus,i m,m,pkt.,tus,i m,m,,,,
1,2,1,254,4,,,,,,,,,,,,,,,,
2,1,1,254,4,3,1,85,3,23,1,376,4,,,,,,,,
3,4,1,116,4,189,1,403,4,2,1,85,3,,,,,,,,
4,5,1,78,6,21,1,700,4,3,1,116,4,,,,,,,,
5,6,1,480,8,17,1,247,6,19,1,340,8,4,1,116,4,,,,
6,5,1,480,8,189,1,50,8,7,1,450,8,,,,,,,,
7,6,1,450,8,8,1,425,8.4,26,1,300,9,,,,,,,,
8,7,1,425,8.4,9,1,586,4,10,1,351,8,12,1,483,4,,,,
9,8,1,586,4,10,1,190,4,11,1,475,4,,,,,,,,
10,8,1,351,8,9,1,190,4,11,2,90,11,,,,,,,,
11,9,1,475,4,12,1,160,8.5,13,1,310,9,,,,,,,,
12,11,1,160,8.5,8,1,483,4,15,1,70,8,14,1,220,5,,,,
13,11,1,310,9,14,1,75,5,27,1,90,8,,,,,,,,
14,13,1,75,5,12,1,220,5,16,1,440,3,,,,,,,,
15,12,1,70,8,18,1,330,3,17,1,415,8,,,,,,,,
16,14,1,440,3,18,1,150,3,19,1,560,3,,,,,,,,
17,15,1,415,8,5,1,247,6,19,2,290,4,18,1,370,4,,,,
18,15,1,330,3,16,1,150,3,17,1,370,4,,,,,,,,
19,16,1,150,3,17,2,290,4,5,1,340,8,20,2,510,7,,,,
20,19,2,510,1,21,1,600,4,75,1,650,6,,,,,,,,
21,20,1,600,4,4,1,700,4,22,1,650,4,,,,,,,,
22,21,1,650,4,,,,,,,,,,,,,,,,
